condition,model,mean_mse,sd_mse,mean_objective,mean_kl,mean_ablation_delta,mean_permutation_delta,mean_decoder_r2,mean_switch_specificity
autonomous_persistent,M0,0.1129943542182445,0.0034305407023343705,0.1129943542182445,0.0,,,,
autonomous_persistent,M1,0.12841033190488813,0.00502404397527861,0.12952166236937043,0.4445323571562767,0.012908261269330925,0.02006558701395985,0.07507706900168577,-0.5305813588202
autonomous_persistent,M2,0.1241807378828525,0.005081899827363132,0.12499627470970151,0.3262156844139099,0.012301191687583875,0.01470439136028285,0.5650412024378788,0.14072328805923462
calibration_negative,M0,0.2865925803780556,0.006408718080888762,0.2865925803780556,0.0,,,,
calibration_negative,M1,0.28657033294439316,0.006398016201021511,0.2868141904473304,0.09754320047795767,0.00604075193405145,0.012109264731407126,-0.0015016867793729,0.021670797839760753
calibration_negative,M2,0.28640154004096985,0.006461002978985659,0.2864890396595001,0.03500051517039535,4.326552152633693e-05,-0.00014349818229674277,-0.000904685365603925,0.009572185575962025
calibration_positive,M0,0.36054279655218124,0.003581024815951296,0.36054279655218124,0.0,,,,
calibration_positive,M1,0.35890835523605347,0.004246425304992613,0.3591744676232338,0.10644638352096078,0.1642285883426666,1.053415834903717,0.9900337897285602,0.06794662540778519
calibration_positive,M2,0.35888179391622543,0.004222756967210293,0.3592163845896721,0.133835207670927,0.1810329034924507,1.049540936946869,0.9896969351845346,0.07080620457418263
identity_switch,M0,0.07106631807982917,0.0036856088448746433,0.07106631807982917,0.0,,,,
identity_switch,M1,0.08727855235338208,0.004968437417657803,0.08783893659710879,0.22415346652269363,0.0030486769974231503,0.0029915329068898747,0.7568729418810818,-0.1050616167485714
identity_switch,M2,0.07737308554351324,0.005173572298213818,0.07891866192221637,0.6182304322719574,0.016556551679968775,0.024462766945362025,0.7160136717239484,-0.23557839170098305
persistent_reactive,M0,0.07184210047125811,0.004871697547171545,0.07184210047125811,0.0,,,,
persistent_reactive,M1,0.0843818131834268,0.005493661858715687,0.08557238988578313,0.4762301743030548,0.0118734389543533,0.017356695607304552,0.6308291714044649,-0.22013209760189056
persistent_reactive,M2,0.0829988084733486,0.00435840750621949,0.0836376510560512,0.2555374391376972,0.009045373648405025,0.012302523478865575,0.7804610206103634,-1.2636050581932068
playback,M0,0.10100007429718967,0.004875673914439865,0.10100007429718967,0.0,,,,
playback,M1,0.10606046207249162,0.006152088242131102,0.107157077640295,0.4386461228132248,0.012518398463725974,0.018548261374235098,,0.03478637756779787
playback,M2,0.10510843992233271,0.005862461247167822,0.1059886775910854,0.35209495574235916,0.0119555983692407,0.011496923863887724,,0.1643085218966006
random_process,M0,0.4117797911167145,0.008890521966189288,0.4117797911167145,0.0,,,,
random_process,M1,0.4192195311188698,0.008786473009822004,0.42045943439006805,0.4959612041711807,0.033507503569126074,0.04747701436281197,0.01297885208025355,-0.5841273628175259
random_process,M2,0.4348099529743194,0.009968540486167302,0.4355570971965789,0.2988562509417534,0.007492475211620275,0.010213539004325825,0.2512646610201288,0.028544105589389843
reactive_memoryless,M0,0.16762151941657064,0.021880002826732553,0.16762151941657064,0.0,,,,
reactive_memoryless,M1,0.18910863250493998,0.023699822076841813,0.18932459503412244,0.08638449013233179,0.000910073518752975,0.0009740777313708751,0.05135686499642238,-0.06843919074162842
reactive_memoryless,M2,0.18501048907637593,0.023379450095810828,0.1858303286135196,0.32793593406677246,0.00911020860075945,0.00442996621131895,0.712271258313491,-0.14039315283298495
